name,base,specular,emissive,background
copper,#000000,#4e230a,#a78319,#000000
ferrous,#412e2e,#000000,#000000,#412e2e
energetic,#b79602,#000000,#000000,#ba9c14
sanguine,#5c0a0a,#000000,#000000,#a00000
lavender,#aa8fbe,#000000,#000000,#847089
octarine,#2e0606,#13071a,#6f4841,#4b0606
santo,#c4c4c4,#000000,#ffffff,#585858
silver,#33343b,#8e98a0,#c4c0a7,#000000
ferrous-bright,#412e2e,#1a0707,#412e2e,#aa7272
energetic-bright,#b79602,#524100,#897103,#d1ad0d
sanguine-bright,#5c0a0a,#2a0404,#5c0a0a,#c10000
lavender-bright,#aa8fbe,#6a4f86,#000000,#bb96c4
octarine-bright,#2e0606,#311230,#6f4841,#c14141
santo-bright,#c4c4c4,#897a59,#ffffff,#c7c2a1
ward,#291141,#061d00,#696969,#000000
fools-gold,#473600,#c7a400,#6f6c01,#f7ff66
priestess,#4068a3,#000000,#4068a3,#28436c
gold,#764007,#c1ab59,#c1ab59,#000000
ferrous-brilliant,#3e1e1e,#270e0e,#652828,#ffb4b4
energetic-brilliant,#b79602,#e2b400,#b86e00,#ffd000
sanguine-brilliant,#5c0a0a,#450b0b,#890303,#ff0000
lavender-brilliant,#aa8fbe,#a17dc4,#000000,#f7d6ff
octarine-brilliant,#4e0303,#3d0e58,#6f4841,#c14141
santo-brilliant,#beb998,#ffffff,#ffffff,#fcf6d0
opal,#ce88b2,#97b79d,#ffffff,#c19f9f
garnet,#2e2e2e,#450101,#554716,#000000
crystal,#9b9ba7,#9699ff,#000000,#aaaaaa
priestess-bright,#4068a3,#1d314e,#001638,#4068a3
dusk,#6b5470,#d17738,#2a160b,#c19f9f
dawn,#4b74b1,#d17738,#483b35,#c19f9f
witching-hour,#2c3448,#804a10,#a31b68,#c19f9f
bubble-gum,#000000,#831d1d,#b9cdff,#c7b1c4
macbeth,#480026,#b47300,#7c0c50,#ff0013
sultan,#001e29,#996700,#693030,#c7ac00
sultana,#1b0029,#996700,#593069,#a0429a
priestess-brilliant,#4068a3,#003483,#0066ff,#4d94ff
cinematic,#553900,#694700,#5c4500,#c77a06
