path,title,tags,description,mime

art/4-the-emperor/client/dist/index.html,Animated Preview App,preview-app,A javascript/html client for previewing legends,text/html; charset=utf-8

art/common/normal-leaf.webp,Normal Map,normal leaf,A noise based normal map for a gold foil like texture,image/webp

art/common/icon.webp,Favicon,favicon,A favicon,image/webp
art/common/logo.webp,Favicon,favicon,A favicon,image/webp
art/common/blank.png,Blank,blank,Blank mystery card,image/png

art/common/back-fate.webp,Fate Card Back,back fate,An alpha map for the Fate card back,image/webp
art/common/back-saxon.webp,Saxon Card Back,back saxon,An alpha map for the Saxon card back,image/webp
art/common/back-saxon-bordered.webp,Bordered Saxon Card Back,back saxon-bordered bordered-saxon,An alpha map for the Bordered Saxon card back,image/webp
art/common/back-saxon-worn.webp,Worn Saxon Card Back,back worn-saxon saxon-worn,An alpha map for the Worn Saxon card back,image/webp
art/common/back-compass.webp,Compass Card Back,back compass,An alpha map for the Compass card back,image/webp
art/common/back-cup-extra.webp,Cup Extra Card Back,back cup-extra,An alpha map for the Cup card back,image/webp
art/common/back-cup-inverted.webp,Cup Inverted Card Back,back cup-inverted,An alpha map for the Cup card back,image/webp
art/common/back-cup-wider.webp,Cup Wider Card Back,back cup-wider,An alpha map for the Cup card back,image/webp
art/common/back-cups.webp,Cups Card Back,back cups,An alpha map for the Cups card back,image/webp
art/common/back-helmet.webp,Helmet Card Back,back helmet,An alpha map for the Helmet card back,image/webp
art/common/back-knotwork-moon.webp,Knotwork Moon Card Back,back knotwork-moon,An alpha map for the Knotwork card back,image/webp
art/common/back-knotwork-ravens.webp,Knotwork Ravens Card Back,back knotwork-ravens,An alpha map for the Knotwork card back,image/webp
art/common/back-oath-rings-inverted.webp,Oath Rings Inverted Card Back,back oath-rings-inverted,An alpha map for the Oath card back,image/webp
art/common/back-oath-rings.webp,Oath Rings Card Back,back oath-rings,An alpha map for the Oath card back,image/webp
art/common/back-odal-rune.webp,Odal Rune Card Back,back odal-rune,An alpha map for the Odal card back,image/webp
art/common/back-raven-outline.webp,Raven Outline Card Back,back raven-outline,An alpha map for the Raven card back,image/webp
art/common/back-raven-solid.webp,Raven Solid Card Back,back raven-solid,An alpha map for the Raven card back,image/webp
art/common/back-swords.webp,Swords Card Back,back swords,An alpha map for the Swords card back,image/webp
art/common/back-wyrd.webp,Wyrd Card Back,back wyrd,An alpha map for the Wyrd card back,image/webp
art/common/back-cinematic.webp,Cinematic Card Back,back wyrd,An alpha map for the Cinematic card back,image/webp

art/common/border-greek.webp,Greek Card Border,border greek,An alpha map for the Greek card border,image/webp
art/common/border-naked.webp,Naked Card Border,border bare naked,An alpha map for the Nake card border,image/webp
art/common/border-round.webp,Round Card Border,border round,An alpha map for the Round card border,image/webp
