border,back,ink,mask,stock
line,bordered-saxon,empress-brilliant,line,empress-gloss
thicc,bordered-saxon,energetic,none,black
bare,compass,lavender,none,black
haus-4,compass,octarine,none,white
haus-4,compass,ward,none,white
naked,compass,garnet,none,empress
round,compass,empress,round,white
bare,cup-extra,ferrous,none,white
naked,cup-extra,lavender,none,black
thicc,cup-extra,octarine,none,black
thin,cup-extra,empress,line,black
valknut,cup-extra,sanguine,birka,black
birka-inverted,cup-inverted,sanguine,birka,white
haus-1,cup-inverted,santo,none,black
haus-3,cup-inverted,ferrous,none,black
haus-3,cup-inverted,ferrous,none,white
haus-3,cup-inverted,macbeth,haus,empress-gloss
midgard-serpent,cup-inverted,dusk,none,black
midgard-serpent,cup-inverted,macbeth,none,black
moon,cup-inverted,copper,none,black
sun,cup-inverted,silver,line,black
haus-3,cup-wider,ferrous,none,black
line,cup-wider,dusk,none,black
midgard-serpent,cup-wider,sanguine,none,black
round,cup-wider,empress,none,black
solar-cross,cup-wider,lavender,none,black
thicc,cup-wider,octarine,none,black
birka-inverted,cups,ward,birka,black
haus-2,cups,copper,none,black
haus-2,cups,energetic,none,white
haus-3,cups,dusk,none,black
line,fate,empress,line,empress
moon,fate,fools-gold,none,empress
naked,fate,ferrous,none,white
saxon-worn,fate,energetic-brilliant,none,white
solar-cross,fate,santo,none,black
thicc,fate,ferrous,line,white
worn-saxon,fate,crystal,none,black
worn-saxon,fate,energetic-bright,none,black
bare,helmet,ward,birka,empress
haus-1,helmet,ferrous,none,black
midgard-serpent,helmet,santo-brilliant,birka,white
moon,helmet,fools-gold,none,black
moon,helmet,sanguine-bright,birka,black
odal,helmet,ferrous-bright,none,black
round,helmet,empress-bright,none,black
round,helmet,empress-bright,round,empress-gloss
thicc,knotwork-moon,lavender-bright,none,black
valknut,knotwork-moon,santo-bright,none,black
bare,knotwork-ravens,ferrous,none,empress
birka-inverted,knotwork-ravens,dusk,birka,black
haus-4,knotwork-ravens,ward,none,black
midgard-serpent,knotwork-ravens,gold,none,empress
odal,knotwork-ravens,santo,none,black
round,knotwork-ravens,ferrous-bright,round,black
thicc,knotwork-ravens,octarine,none,black
bare,oath-rings,copper,line,white
birka,oath-rings,energetic,birka,black
haus-2,oath-rings,ferrous-brilliant,none,black
line,oath-rings-inverted,energetic,none,black
midgard-serpent,oath-rings-inverted,empress,none,empress
moon,oath-rings,copper,none,black
saxon,oath-rings,sanguine,none,black
solar-cross,oath-rings,silver,none,black
valknut,oath-rings,gold,none,empress
birka-inverted,odal-rune,empress,none,black
midgard-serpent,odal-rune,witching-hour,birka,black
wyrd,odal-rune,empress,none,empress
naked,raven-outline,lavender,none,white
saxon-worn,raven-outline,ferrous,none,black
staggered,raven-outline,santo,none,white
valknut,raven-outline,empress-brilliant,line,empress-gloss
bare,raven-solid,ferrous,none,black
greek,raven-solid,santo-bright,none,black
haus-3,raven-solid,sultan,none,white
midgard-serpent,raven-solid,ferrous-bright,birka,empress
birka,saxon-bordered,sanguine,none,white
haus-1,saxon-bordered,empress,none,empress
moon,saxon-bordered,santo,none,black
round,saxon-bordered,ferrous-brilliant,none,black
round,saxon-bordered,octarine-brilliant,none,black
saxon-worn,saxon-bordered,witching-hour,none,white
staggered,saxon-bordered,empress,none,empress
greek,saxon,lavender-bright,greek,white
haus-3,saxon,ferrous,haus,black
haus-3,saxon,opal,haus,black
haus-4,saxon,copper,none,black
line,saxon,copper,line,black
solar-cross,saxon,ferrous-bright,none,black
staggered,saxon,energetic,none,white
thicc,saxon,gold,line,white
bare,swords,copper,none,black
haus-4,swords,octarine,none,black
line,swords,energetic,none,black
saxon,swords,lavender,none,black
valknut,swords,empress,haus,black
valknut,swords,empress,none,empress
bare,worn-saxon,lavender,none,white
haus-2,worn-saxon,ferrous,none,black
haus-4,worn-saxon,ferrous,none,black
midgard-serpent,worn-saxon,empress-bright,none,empress
naked,worn-saxon,lavender-bright,none,black
round,worn-saxon,witching-hour,none,black
thin,worn-saxon,lavender,none,black
valknut,worn-saxon,copper,none,black
line,wyrd,ferrous,line,black
moon,wyrd,energetic-bright,none,empress
saxon-worn,wyrd,sanguine-bright,none,black
thicc,wyrd,energetic,none,black
thicc,wyrd,octarine-bright,none,black
