border,back,ink,mask,stock
line,fate,hierophant,line,hierophant
line,fate,hierophant-brilliant,line,hierophant-gloss
haus-2,oath-rings-inverted,hierophant-brilliant,none,hierophant-gloss
thicc,cups,hierophant-bright,none,hierophant-gloss
solar-cross,compass,hierophant-bright,none,hierophant
moon,swords,hierophant,none,hierophant
greek,raven-solid,hierophant,none,hierophant
birka,saxon-bordered,hierophant,birka,hierophant
haus-3,oath-rings-inverted,hierophant,haus,hierophant
birka-inverted,cup-wider,santo,none,black
staggered,oath-rings,energetic,line,black
saxon,saxon,santo,none,white
staggered,raven-outline,energetic,none,hierophant
greek,raven-outline,sanguine-brilliant,greek,black
sun,fate,hierophant-brilliant,none,black
bare,worn-saxon,hierophant-bright,none,hierophant
round,saxon-bordered,lavender,round,white
solar-cross,worn-saxon,energetic-brilliant,none,hierophant
midgard-serpent,swords,santo,none,black
odal,helmet,garnet,none,black
birka-inverted,fate,lavender-bright,none,black
saxon,raven-solid,silver,none,hierophant
naked,wyrd,energetic-brilliant,none,hierophant
saxon,wyrd,energetic,none,black
saxon-worn,cups,sanguine,none,black
greek,compass,copper,greek,black
bare,saxon-bordered,lavender,none,black
haus-1,cup-wider,sanguine,none,black
saxon,saxon,dusk,none,black
haus-4,compass,ferrous,none,black
birka,compass,silver,birka,white
odal,odal-rune,dusk,none,black
midgard-serpent,odal-rune,energetic,none,white
worn-saxon,saxon,dusk,none,hierophant
valknut,cup-inverted,energetic,none,black
line,saxon-bordered,ferrous,none,black
sun,saxon-bordered,lavender-bright,none,black
birka-inverted,cup-inverted,santo,none,black
bare,oath-rings-inverted,dusk,none,black
greek,helmet,dawn,none,black
saxon,knotwork-ravens,dawn,none,black
haus-1,knotwork-moon,octarine,none,black
sun,cinematic,ferrous,none,black
haus-2,knotwork-moon,gold,none,black
greek,oath-rings,energetic,none,black
odal,compass,copper,none,black
saxon,cinematic,ferrous,none,black
greek,raven-solid,energetic,greek,white
moon,cup-wider,octarine,none,black
haus-4,knotwork-moon,santo,none,black
birka-inverted,saxon,dawn,none,black
greek,cups,octarine,none,black
haus-3,oath-rings,sanguine-bright,none,black
line,worn-saxon,copper,none,black
haus-1,raven-outline,copper,none,white
greek,knotwork-ravens,lavender,none,black
saxon,knotwork-ravens,energetic,none,hierophant
haus-3,fate,octarine,none,black
greek,cup-wider,lavender-bright,none,white
staggered,oath-rings-inverted,energetic,none,black
haus-2,cup-wider,sanguine-bright,none,black
moon,knotwork-moon,silver,none,black
solar-cross,saxon,copper,none,black
haus-4,compass,octarine,none,black
wyrd,wyrd,ferrous-brilliant,none,black
sun,cup-extra,energetic,none,black
midgard-serpent,oath-rings-inverted,energetic,none,black
odal,cups,witching-hour,none,black
bare,oath-rings-inverted,ferrous,line,white
greek,helmet,sanguine,greek,black
birka-inverted,cup-extra,copper,none,black
haus-2,saxon,ferrous,haus,black
midgard-serpent,knotwork-ravens,octarine,none,black
saxon,saxon,sanguine-brilliant,none,black
haus-1,oath-rings,santo-brilliant,none,black
staggered,worn-saxon,octarine,none,black
solar-cross,cinematic,ferrous-brilliant,none,black
solar-cross,knotwork-ravens,sanguine,none,black
haus-2,cups,copper,none,white
midgard-serpent,wyrd,sanguine-bright,none,black
greek,fate,sanguine-bright,none,black
worn-saxon,saxon,garnet,none,black
saxon,cinematic,ferrous,none,hierophant
thin,worn-saxon,dawn,none,black
solar-cross,worn-saxon,lavender,none,white
saxon,knotwork-ravens,ferrous,none,black
solar-cross,oath-rings,energetic,none,hierophant
haus-4,fate,sanguine,none,white
haus-3,compass,lavender,none,black
birka,worn-saxon,santo,none,black
round,oath-rings,garnet,round,black
haus-3,raven-solid,copper,haus,black
greek,odal-rune,copper,greek,black
worn-saxon,saxon,octarine,none,black
moon,compass,ferrous,none,black
haus-4,oath-rings-inverted,witching-hour,none,white
bare,oath-rings,copper,none,black
midgard-serpent,fate,crystal,none,black
haus-3,odal-rune,copper,none,black
valknut,knotwork-ravens,ferrous,none,black
line,fate,sanguine,none,black
birka-inverted,compass,octarine,none,black
moon,cup-inverted,fools-gold,none,black
haus-2,knotwork-ravens,hierophant-brilliant,none,hierophant-gloss
saxon-worn,cups,energetic,none,hierophant-gloss
valknut,saxon,copper,none,black
moon,cups,dusk,none,black
midgard-serpent,raven-solid,witching-hour,none,black
round,cups,octarine-bright,round,black
valknut,odal-rune,octarine,none,black
